sample_id,instruction_truncated,winner
1,"I like to host guests at my home from time to time, and I am gathering  recipes of differe...",Tie
2,"I like to host guests at my home from time to time, and I am gathering  recipes of differe...",Tie
3,Why do a lot of Scientists not believe in God or Satan?,Tie
4,How do I make apple juice?,Tie
5,How to make frosting with crisco,Tie
6,Can you help me figure out how to sew a button on a shirt?,Tie
7,What causes the northern lights?,Tie
8,What is kevlar made out of?,Tie
9,What type of soil is suitable for cactus?,Tie
10,I want to get better at networking at work,Tie
11,How can I  use my phone less?,Tie
12,What kind of foods do they eat in Thailand,Tie
13,"I like to host guests at my home from time to time, and I am gathering  recipes of differe...",Tie
14,What are some artists I might like if I like Billy Joel?,Tie
15,I'm trying to learn how to install window blinds.,Tie
